순위,발매일,곡명,앨범명,가수,장르
1,2020.01.13,아무노래,아무노래,지코 (ZICO),랩/힙합
2,2019.11.29,METEOR,Boyhood,창모 (CHANGMO),랩/힙합
3,2020.03.27,아로하,슬기로운 의사생활 OST Part 3,조정석,"발라드, 국내드라마"
4,2019.08.23,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,멜로가 체질 OST Part 3,장범준,"록/메탈, 국내드라마"
5,2020.05.06,에잇(Prod.&Feat. SUGA of BTS),에잇,아이유,록/메탈
6,2019.11.18,Blueming,Love poem,아이유,록/메탈
7,2019.11.07,늦은 밤 너의 집 앞 골목길에서,늦은 밤 너의 집 앞 골목길에서,노을,발라드
8,2020.02.01,시작,이태원 클라쓰 OST Part.2,가호 (Gaho),"록/메탈, 국내드라마"
9,2019.04.12,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),MAP OF THE SOUL : PERSONA,방탄소년단,댄스
10,2019.12.23,Psycho,‘The ReVe Festival’ Finale,Red Velvet (레드벨벳),댄스
11,2019.09.25,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",항해,AKMU (악뮤),발라드
12,2020.08.24,Dynamite,Dynamite (DayTime Version),방탄소년단,댄스
13,2020.02.15,마음을 드려요,사랑의 불시착 OST Part 11,아이유,"발라드, 국내드라마"
14,2020.03.25,처음처럼,CEREMONIA,엠씨더맥스 (M.C the MAX),발라드
15,2020.06.26,How You Like That,How You Like That,BLACKPINK,댄스
16,2020.04.27,살짝 설렜어 (Nonstop),NONSTOP,오마이걸 (OH MY GIRL),댄스
17,2020.02.21,ON,MAP OF THE SOUL : 7,방탄소년단,랩/힙합
18,2019.06.09,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),Red Moon : To You My Light,마크툽 (MAKTUB),"R&B/Soul, 인디음악"
19,2017.12.06,Downtown Baby,Downtown Baby,블루 (BLOO),"랩/힙합, 인디음악"
20,2020.06.29,마리아 (Maria),Mar?a,화사 (Hwa Sa),댄스
21,2020.03.05,어떻게 지내 (Prod. By VAN.C),어떻게 지내,오반,"랩/힙합, 인디음악"
22,2018.03.20,"모든 날, 모든 순간 (Every day, Every Moment)",키스 먼저 할까요?' OST Part.3,폴킴,"발라드, 국내드라마"
23,2020.07.18,다시 여기 바닷가,다시 여기 바닷가,"싹쓰리 (유두래곤, 린다G, 비룡)",댄스
24,2020.04.27,Dolphin,NONSTOP,오마이걸 (OH MY GIRL),댄스
25,2020.05.22,사랑하게 될 줄 알았어,슬기로운 의사생활 OST Part 11,전미도,"발라드, 국내드라마"
26,2019.08.12,안녕,호텔 델루나 OST Part.10,폴킴,"발라드, 국내드라마"
27,2020.02.15,그때 그 아인,이태원 클라쓰 OST Part.6,김필,"발라드, 국내드라마"
28,2020.07.20,취기를 빌려 (취향저격 그녀 X 산들),취기를 빌려 (취향저격 그녀 X 산들),산들,발라드
29,2019.11.01,Love poem,Love poem,아이유,록/메탈
30,2019.11.14,HIP,reality in BLACK,마마무 (Mamamoo),댄스
31,2019.11.20,우리 왜 헤어져야 해,우리 왜 헤어져야 해,신예영,발라드
32,2020.03.20,좋은 사람 있으면 소개시켜줘,슬기로운 의사생활 OST Part 2,조이 (JOY),"발라드, 국내드라마"
33,2020.01.07,너를 사랑하고 있어,낭만닥터 김사부 2 OST Part.1,백현 (BAEKHYUN),"발라드, 국내드라마"
34,2017.02.13,봄날,YOU NEVER WALK ALONE,방탄소년단,랩/힙합
35,2020.01.17,Black Swan,MAP OF THE SOUL : 7,방탄소년단,랩/힙합
36,2020.07.01,Summer Hate (Feat. 비),RANDOM BOX,지코 (ZICO),랩/힙합
37,2020.05.13,나비와 고양이 (feat.백현 (BAEKHYUN)),사춘기집Ⅱ 꽃 본 나비,볼빨간사춘기,"인디음악, 포크/블루스"
38,2020.01.12,"다시 난, 여기",사랑의 불시착 OST Part 4,백예린 (Yerin Baek),"발라드, 국내드라마"
39,2020.07.30,눈누난나 (NUNU NANA),NUNA,제시 (Jessi),랩/힙합
40,2020.02.07,돌덩이,이태원 클라쓰 OST Part.3,하현우 (국카스텐),"록/메탈, 국내드라마"
41,2012.09.04,오래된 노래,오래된 노래,스탠딩 에그,"인디음악, 포크/블루스"
42,2019.09.08,사랑이란 멜로는 없어,사랑이란 멜로는 없어,전상근,발라드
43,2019.11.30,반만,반만,진민호,발라드
44,2019.03.31,시든 꽃에 물을 주듯,시든 꽃에 물을 주듯,HYNN (박혜원),발라드
45,2018.10.29,너를 만나,너를 만나,폴킴,발라드
46,2019.12.10,Square (2017),Every letter I sent you.,백예린 (Yerin Baek),R&B/Soul
47,2020.02.17,FIESTA,BLOOM*IZ,IZ*ONE (아이즈원),댄스
48,2020.04.13,덤더럼 (Dumhdurum),LOOK,Apink (에이핑크),댄스
49,2019.12.03,"아마두 (feat.우원재, 김효은, 넉살, Huckleberry P)",Dingo X DAMOIM (Part 2),"염따, 딥플로우, 팔로알토 (Paloalto), The Quiett, 사이먼 도미닉",랩/힙합
50,2019.09.24,조금 취했어 (Prod. 2soo),조금 취했어,임재현,"발라드, 인디음악"
