순위,발매일,곡명,앨범명,가수,장르
1,2015.06.01,뱅뱅뱅 (BANG BANG BANG),A,BIGBANG (빅뱅),랩/힙합
2,2015.02.05,같은 시간 속의 너,브라운 아이드 소울 싱글 프로젝트 1st. 같은 시간 속의 너 By 나얼,나얼,R&B/Soul
3,2015.05.19,꺼내 먹어요,Eat,Zion.T,R&B/Soul
4,2015.05.20,이럴거면 그러지말지 (Feat. Young K),이럴거면 그러지말지,백아연,발라드
5,2014.09.18,위잉위잉,20,혁오 (HYUKOH),"인디음악, 록/메탈"
6,2015.05.01,LOSER,M,BIGBANG (빅뱅),랩/힙합
7,2015.05.01,BAE BAE,M,BIGBANG (빅뱅),랩/힙합
8,2015.02.02,그냥 (Just),Young,"Zion.T, Crush",R&B/Soul
9,2014.09.22,양화대교,양화대교,Zion.T,R&B/Soul
10,2015.04.08,우연히 봄,냄새를 보는 소녀 OST Part.2,"로꼬, 유주 (YUJU)","발라드, 랩/힙합, 국내드라마"
11,2015.09.22,또 다시 사랑,또 다시 사랑,임창정,발라드
12,2015.08.22,레옹,무한도전 영동고속도로 가요제,"이유 갓지(GOD G) 않은 이유 (박명수, 아이유)",댄스
13,2015.06.22,SHAKE IT,SHAKE IT,씨스타,댄스
14,2015.05.28,와리가리,22,혁오 (HYUKOH),"인디음악, 록/메탈"
15,2014.08.27,위아래,위아래,EXID,댄스
16,2015.06.22,심쿵해 (Heart Attack),Heart Attack,AOA,댄스
17,2015.08.22,겁 (Feat. 태양),쇼미더머니 4 Episode 5,MINO (송민호),랩/힙합
18,2015.03.20,Puss (Prod.by 라이머),언프리티 랩스타 SEMI FINAL,"지민, 아이언",랩/힙합
19,2015.03.30,다른 남자 말고 너,Colors,미쓰에이,댄스
20,2015.03.18,두사랑 (Feat. 매드클라운),두사랑,다비치,발라드
21,2015.05.18,마음,마음,아이유,포크/블루스
22,2015.03.30,CALL ME BABY,The 2nd Album 'EXODUS',EXO,댄스
23,2015.04.23,Me You (Feat. 백예린 Of 15&),양치기 소년,San E,랩/힙합
24,2015.04.23,그 남잔 말야,냄새를 보는 소녀 OST Part.5,엠씨더맥스 (M.C the MAX),"발라드, 국내드라마"
25,2015.01.08,목소리,보이지 않는 것들,노을,발라드
26,2015.06.19,음오아예 (Um Oh Ah Yeh),Pink Funky,마마무 (Mamamoo),댄스
27,2015.03.17,사월의 눈,사월의 눈,허각,발라드
28,2015.04.12,어머님이 누구니 (Feat. 제시),24/34,박진영,댄스
29,2015.11.16,취향저격,WELCOME BACK,iKON,랩/힙합
30,2014.03.28,야생화,야생화,박효신,발라드
31,2015.04.13,Ah Yeah,AH YEAH,EXID,댄스
32,2015.07.23,오늘부터 우리는 (Me Gustas Tu),여자친구 2nd Mini Album 'Flower Bud',여자친구 (GFRIEND),댄스
33,2015.01.09,화 (Feat. 진실 Of Mad Soul Child) (Fire),Piece Of Mine,매드클라운,랩/힙합
34,2015.10.07,I (Feat. 버벌진트),I - The 1st Mini Album,태연 (TAEYEON),록/메탈
35,2015.07.01,IF YOU,D,BIGBANG (빅뱅),포크/블루스
36,2015.09.21,바람이나 좀 쐐 (Feat. 우혜미),2002,개리,랩/힙합
37,2015.08.22,맙소사,무한도전 영동고속도로 가요제,"황태지 (황광희, 태양, 지드래곤)",댄스
38,2015.08.01,거북선 (Feat. 팔로알토),쇼미더머니 4 Episode 2,"Ja Mezz, Andup (앤덥), MINO (송민호)",랩/힙합
39,2013.12.20,금요일에 만나요 (Feat. 장이정 Of HISTORY),Modern Times - Epilogue,아이유,발라드
40,2015.08.05,우리 사랑하지 말아요,E,BIGBANG (빅뱅),댄스
41,2015.08.15,오빠차,쇼미더머니 4 Episode 4,"인크레더블, Tablo, 지누션",랩/힙합
42,2015.07.09,Oasis (Feat. ZICO),Oasis,Crush,R&B/Soul
43,2015.01.21,또 운다 또,DAVICHI HUG,다비치,발라드
44,2015.06.03,LOVE ME RIGHT,LOVE ME RIGHT - The 2nd Album Repackage,EXO,댄스
45,2015.09.22,어깨,어깨,"소유 (SOYOU), 권정열",R&B/Soul
46,2014.11.24,LUV,Pink LUV,Apink (에이핑크),댄스
47,2014.11.28,바라보기,미녀의 탄생 OST Part 4,엠씨더맥스 (M.C the MAX),"발라드, 국내드라마"
48,2015.03.02,사랑 범벅 (Feat. 챈슬러 of the channels),SONG FOR YOU,MC몽,랩/힙합
49,2014.11.13,광화문에서 (At Gwanghwamun),The 1st Mini Album '광화문에서 (At Gwanghwamun)',규현 (KYUHYUN),발라드
50,2015.02.13,My Type (Prod. By 버벌진트),언프리티 랩스타 Track 3,"제시 (Jessi), 치타 (CHEETAH), 강남",랩/힙합
