순위,발매일,곡명,앨범명,가수,장르
1,2022.03.30,사건의 지평선,YOUNHA 6th Album Repackage 'END THEORY : Final Edition',윤하 (YOUNHA),록/메탈
2,2022.08.01,Hype boy,NewJeans 1st EP 'New Jeans',NewJeans,댄스
3,2022.10.17,ANTIFRAGILE,ANTIFRAGILE,LE SSERAFIM (르세라핌),댄스
4,2022.12.03,마이웨이 (MY WAY) (Prod. R.Tee),쇼미더머니 11 Episode 1,저스디스 (JUSTHIS),랩/힙합
5,2022.10.17,Nxde,I love,(여자)아이들,댄스
6,2022.08.22,After LIKE,After LIKE,IVE (아이브),댄스
7,2022.09.06,새삥 (Prod. ZICO) (Feat. 호미들),스트릿 맨 파이터(SMF) Original Vol.3 (계급미션),지코 (ZICO),랩/힙합
8,2022.08.01,Attention,NewJeans 1st EP 'New Jeans',NewJeans,댄스
9,2022.04.05,LOVE DIVE,LOVE DIVE,IVE (아이브),댄스
10,2022.11.20,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack] (Feat. FIFA Sound),Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],정국,POP
11,2022.09.18,Monologue,Monologue,테이,발라드
12,2022.12.03,위하여 (We Higher) (Prod. GroovyRoom),쇼미더머니 11 Episode 1,그루비룸 (GroovyRoom),랩/힙합
13,2022.09.22,Rush Hour (Feat. j-hope of BTS),Rush Hour,Crush,R&B/Soul
14,2022.09.16,Shut Down,BORN PINK,BLACKPINK,랩/힙합
15,2022.09.16,Pink Venom,BORN PINK,BLACKPINK,랩/힙합
16,2022.06.07,해요 (2022),해요 (2022),#안녕,"발라드, 인디음악"
17,2022.09.29,자격지심 (Feat. ZICO),FIVE SENSES,BE'O (비오),랩/힙합
18,2022.12.03,WE (Feat. 박재범) (Prod. by Slom),쇼미더머니 11 Episode 1,이영지,랩/힙합
19,2022.11.29,WHEN I MOVE,MOVE AGAIN,카라,댄스
20,2022.11.11,Snowman,Everyday Is Christmas (Snowman Deluxe Edition),Sia,POP
21,2022.09.25,딱 10CM만,딱 10CM만,10CM,R&B/Soul
22,2021.10.11,사랑은 늘 도망가,신사와 아가씨 OST Part.2,임영웅,"발라드, 국내드라마"
23,2022.02.18,사랑인가 봐,사랑인가 봐 (사내맞선 OST 스페셜 트랙),멜로망스,"발라드, 국내드라마"
24,2022.07.09,그때 그 순간 그대로 (그그그),WSG워너비 1집,WSG워너비 (가야G),발라드
25,2022.03.14,TOMBOY,I NEVER DIE,(여자)아이들,록/메탈
26,2022.03.25,내가 아니라도,내가 아니라도,주호,발라드
27,2014.02.12,너의 모든 순간,별에서 온 그대 OST Part.7,성시경,"발라드, 국내드라마"
28,2019.11.01,All I Want for Christmas Is You,Merry Christmas (Deluxe Anniversary Edition),Mariah Carey,R&B/Soul
29,2022.07.03,그라데이션,5.3,10CM,"인디음악, 포크/블루스"
30,2022.08.01,Cookie,NewJeans 1st EP 'New Jeans',NewJeans,댄스
31,2022.05.02,FEARLESS,FEARLESS,LE SSERAFIM (르세라핌),댄스
32,2022.04.20,정이라고 하자 (Feat. 10CM),정이라고 하자,BIG Naughty (서동현),R&B/Soul
33,2022.09.26,우린 그렇게 사랑해서,우린 그렇게 사랑해서,강민경 (다비치),발라드
34,2021.12.19,취중고백,취중고백,김민석 (멜로망스),발라드
35,2022.04.24,나의 X에게,나의 X에게,경서,발라드
36,2014.11.24,Santa Tell Me,Santa Tell Me,Ariana Grande,POP
37,2021.12.01,ELEVEN,ELEVEN,IVE (아이브),댄스
38,2022.07.09,보고싶었어,WSG워너비 1집,WSG워너비 (4FIRE),R&B/Soul
39,2022.12.04,잘가요,잘가요,주호,발라드
40,2021.05.19,다정히 내 이름을 부르면,다정히 내 이름을 부르면 (경서예지 x 전건호),경서예지,발라드
41,2022.04.08,That's Hilarious,CHARLIE,Charlie Puth,POP
42,2022.10.18,떠나보낼 준비해 둘걸 그랬어,떠나보낼 준비해 둘걸 그랬어,임한별,발라드
43,2022.12.05,흩어지지 않게,흩어지지 않게,엠씨더맥스 (M.C the MAX),발라드
44,2022.05.02,우리들의 블루스,IM HERO,임영웅,발라드
45,2022.12.03,아저씨,쇼미더머니 11 Episode 1,릴러말즈 (Leellamarz),랩/힙합
46,2018.03.20,"모든 날, 모든 순간 (Every day, Every Moment)",'키스 먼저 할까요?' OST Part.3,폴킴,"발라드, 국내드라마"
47,2021.10.19,내 기쁨은 너가 벤틀리를 끄는 거야,PROTOTYPE RESEARCH #0063,김승민,랩/힙합
48,2018.10.11,첫사랑,첫사랑,백아,"인디음악, 포크/블루스"
49,2022.04.12,LOVE me,LOVE me,BE'O (비오),랩/힙합
50,2022.09.16,I Don't Think That I Like Her,CHARLIE,Charlie Puth,POP
